instance,reduced,|V|,|E|,density
C2000.5,false,2000,999836,0.5
C2000.5,true,2000,999836,0.5
C2000.9,false,2000,1799532,0.9
C2000.9,true,2000,1799532,0.9
DSJC125.1gb,false,125,736,0.09
DSJC125.1gb,true,125,736,0.09
DSJC125.1g,false,125,736,0.09
DSJC125.1g,true,125,736,0.09
DSJC125.5gb,false,125,3891,0.5
DSJC125.5gb,true,125,3891,0.5
DSJC125.5g,false,125,3891,0.5
DSJC125.5g,true,125,3891,0.5
DSJC125.9gb,false,125,6961,0.9
DSJC125.9gb,true,125,6961,0.9
DSJC125.9g,false,125,6961,0.9
DSJC125.9g,true,125,6961,0.9
DSJC250.1,false,250,3218,0.1
DSJC250.1,true,250,3218,0.1
DSJC250.5,false,250,15668,0.5
DSJC250.5,true,250,15668,0.5
DSJC250.9,false,250,27897,0.9
DSJC250.9,true,250,27897,0.9
DSJC500.1,false,500,12458,0.1
DSJC500.1,true,500,12458,0.1
DSJC500.5,false,500,62624,0.5
DSJC500.5,true,500,62624,0.5
DSJC500.9,false,500,112437,0.9
DSJC500.9,true,500,112437,0.9
DSJC1000.1,false,1000,49629,0.1
DSJC1000.1,true,1000,49629,0.1
DSJC1000.5,false,1000,249826,0.5
DSJC1000.5,true,1000,249826,0.5
DSJC1000.9,false,1000,449449,0.9
DSJC1000.9,true,1000,449449,0.9
DSJR500.1,false,500,3555,0.03
DSJR500.1,true,244,1904,0.06
flat1000_50_0,false,1000,245000,0.49
flat1000_50_0,true,1000,245000,0.49
flat1000_60_0,false,1000,245830,0.49
flat1000_60_0,true,1000,245830,0.49
flat1000_76_0,false,1000,246708,0.49
flat1000_76_0,true,1000,246708,0.49
GEOM20a,false,20,37,0.19
GEOM20a,true,6,13,0.87
GEOM20b,false,20,32,0.17
GEOM20b,true,13,22,0.28
GEOM20,false,20,20,0.11
GEOM20,true,7,11,0.52
GEOM30a,false,30,81,0.19
GEOM30a,true,20,60,0.32
GEOM30b,false,30,81,0.19
GEOM30b,true,26,72,0.22
GEOM30,false,30,50,0.11
GEOM30,true,10,19,0.42
GEOM40a,false,40,146,0.19
GEOM40a,true,17,54,0.4
GEOM40b,false,40,157,0.2
GEOM40b,true,27,105,0.3
GEOM40,false,40,78,0.1
GEOM40,true,19,40,0.23
GEOM50a,false,50,238,0.19
GEOM50a,true,28,129,0.34
GEOM50b,false,50,249,0.2
GEOM50b,true,38,189,0.27
GEOM50,false,50,127,0.1
GEOM50,true,24,59,0.21
GEOM60a,false,60,339,0.19
GEOM60a,true,44,240,0.25
GEOM60b,false,60,366,0.21
GEOM60b,true,49,302,0.26
GEOM60,false,60,185,0.1
GEOM60,true,39,111,0.15
GEOM70a,false,70,459,0.19
GEOM70a,true,53,334,0.24
GEOM70b,false,70,488,0.2
GEOM70b,true,55,392,0.26
GEOM70,false,70,267,0.11
GEOM70,true,62,236,0.12
GEOM80a,false,80,612,0.19
GEOM80a,true,71,540,0.22
GEOM80b,false,80,663,0.21
GEOM80b,true,70,597,0.25
GEOM80,false,80,349,0.11
GEOM80,true,43,204,0.23
GEOM90a,false,90,789,0.2
GEOM90a,true,86,749,0.2
GEOM90b,false,90,860,0.21
GEOM90b,true,69,680,0.29
GEOM90,false,90,441,0.11
GEOM90,true,73,343,0.13
GEOM100a,false,100,992,0.2
GEOM100a,true,99,981,0.2
GEOM100b,false,100,1050,0.21
GEOM100b,true,88,958,0.25
GEOM100,false,100,547,0.11
GEOM100,true,75,393,0.14
GEOM110a,false,110,1207,0.2
GEOM110a,true,110,1207,0.2
GEOM110b,false,110,1256,0.21
GEOM110b,true,90,1068,0.27
GEOM110,false,110,638,0.11
GEOM110,true,87,495,0.13
GEOM120a,false,120,1434,0.2
GEOM120a,true,119,1421,0.2
GEOM120b,false,120,1491,0.21
GEOM120b,true,110,1404,0.23
GEOM120,false,120,773,0.11
GEOM120,true,100,628,0.13
inithx.i.1,false,864,18707,0.05
inithx.i.1,true,181,6754,0.41
inithx.i.2,false,645,13979,0.07
inithx.i.2,true,210,5116,0.23
inithx.i.3,false,621,13969,0.07
inithx.i.3,true,236,5756,0.21
latin_square_10,false,900,307350,0.76
latin_square_10,true,900,307350,0.76
le450_15a,false,450,8168,0.08
le450_15a,true,420,7936,0.09
le450_15b,false,450,8169,0.08
le450_15b,true,430,8045,0.09
le450_15c,false,450,16680,0.17
le450_15c,true,450,16680,0.17
le450_15d,false,450,16750,0.17
le450_15d,true,450,16750,0.17
le450_25a,false,450,8260,0.08
le450_25a,true,346,7314,0.12
le450_25b,false,450,8263,0.08
le450_25b,true,345,7134,0.12
le450_25c,false,450,17343,0.17
le450_25c,true,440,17205,0.18
le450_25d,false,450,17425,0.17
le450_25d,true,442,17299,0.18
miles250,false,128,387,0.05
miles250,true,32,158,0.32
miles500,false,128,1170,0.14
miles500,true,48,525,0.47
miles1000,false,128,3216,0.4
miles1000,true,93,2622,0.61
miles1500,false,128,5198,0.64
miles1500,true,93,3831,0.9
mulsol.i.5,false,186,3973,0.23
mulsol.i.5,true,104,2121,0.4
myciel5gb,false,47,236,0.22
myciel5gb,true,47,236,0.22
myciel5g,false,47,236,0.22
myciel5g,true,47,236,0.22
myciel6gb,false,95,755,0.17
myciel6gb,true,95,755,0.17
myciel6g,false,95,755,0.17
myciel6g,true,95,755,0.17
myciel7gb,false,191,2360,0.13
myciel7gb,true,191,2360,0.13
myciel7g,false,191,2360,0.13
myciel7g,true,191,2360,0.13
queen8_8gb,false,64,728,0.36
queen8_8gb,true,64,728,0.36
queen8_8g,false,64,728,0.36
queen8_8g,true,64,728,0.36
queen9_9gb,false,81,1056,0.33
queen9_9gb,true,81,1056,0.33
queen9_9g,false,81,1056,0.33
queen9_9g,true,81,1056,0.33
queen10_10,false,100,1470,0.3
queen10_10,true,100,1470,0.3
queen10_10gb,false,100,1470,0.3
queen10_10gb,true,100,1470,0.3
queen10_10g,false,100,1470,0.3
queen10_10g,true,100,1470,0.3
queen11_11,false,121,1980,0.27
queen11_11,true,121,1980,0.27
queen11_11gb,false,121,1980,0.27
queen11_11gb,true,121,1980,0.27
queen11_11g,false,121,1980,0.27
queen11_11g,true,121,1980,0.27
queen12_12,false,144,2596,0.25
queen12_12,true,144,2596,0.25
queen12_12gb,false,144,2596,0.25
queen12_12gb,true,144,2596,0.25
queen12_12g,false,144,2596,0.25
queen12_12g,true,144,2596,0.25
queen13_13,false,169,3328,0.23
queen13_13,true,169,3328,0.23
queen14_14,false,196,4186,0.22
queen14_14,true,196,4186,0.22
queen15_15,false,225,5180,0.21
queen15_15,true,225,5180,0.21
queen16_16,false,256,6320,0.19
queen16_16,true,256,6320,0.19
R50_1gb,false,50,108,0.09
R50_1gb,true,42,94,0.11
R50_1g,false,50,108,0.09
R50_1g,true,42,94,0.11
R50_5gb,false,50,612,0.5
R50_5gb,true,50,612,0.5
R50_5g,false,50,612,0.5
R50_5g,true,50,612,0.5
R50_9gb,false,50,1092,0.89
R50_9gb,true,50,1092,0.89
R50_9g,false,50,1092,0.89
R50_9g,true,50,1092,0.89
R75_1gb,false,70,251,0.1
R75_1gb,true,69,249,0.11
R75_1g,false,70,251,0.1
R75_1g,true,69,249,0.11
R75_5gb,false,75,1407,0.51
R75_5gb,true,75,1407,0.51
R75_5g,false,75,1407,0.51
R75_5g,true,75,1407,0.51
R75_9gb,false,75,2513,0.91
R75_9gb,true,75,2513,0.91
R75_9g,false,75,2513,0.91
R75_9g,true,75,2513,0.91
R100_1gb,false,100,509,0.1
R100_1gb,true,99,506,0.1
R100_1g,false,100,509,0.1
R100_1g,true,98,503,0.11
R100_5gb,false,100,2456,0.5
R100_5gb,true,100,2456,0.5
R100_5g,false,100,2456,0.5
R100_5g,true,100,2456,0.5
R100_9gb,false,100,4438,0.9
R100_9gb,true,100,4438,0.9
R100_9g,false,100,4438,0.9
R100_9g,true,100,4438,0.9
wap01a,false,2368,110871,0.04
wap01a,true,2157,104235,0.04
wap02a,false,2464,111742,0.04
wap02a,true,2215,103511,0.04
wap03a,false,4730,286722,0.03
wap03a,true,4594,281579,0.03
wap04a,false,5231,294902,0.02
wap04a,true,4910,282871,0.02
wap05a,false,905,43081,0.11
wap05a,true,824,40519,0.12
wap06a,false,947,43571,0.1
wap06a,true,858,40815,0.11
wap07a,false,1809,103368,0.06
wap07a,true,1725,100913,0.07
wap08a,false,1870,104176,0.06
wap08a,true,1785,101574,0.06
zeroin.i.1,false,211,4100,0.19
zeroin.i.1,true,81,2246,0.69
zeroin.i.2,false,211,3541,0.16
zeroin.i.2,true,100,2129,0.43
zeroin.i.3,false,206,3540,0.17
zeroin.i.3,true,95,1984,0.44
p06,false,16,38,0.32
p06,true,16,38,0.32
p07,false,24,92,0.33
p07,true,24,92,0.33
p08,false,24,92,0.33
p08,true,24,92,0.33
p09,false,25,100,0.33
p09,true,25,100,0.33
p10,false,16,32,0.27
p10,true,16,32,0.27
p11,false,18,48,0.31
p11,true,18,48,0.31
p12,false,26,90,0.28
p12,true,26,90,0.28
p13,false,34,160,0.29
p13,true,34,160,0.29
p14,false,31,110,0.24
p14,true,31,110,0.24
p15,false,34,136,0.24
p15,true,34,136,0.24
p16,false,34,134,0.24
p16,true,34,134,0.24
p17,false,37,161,0.24
p17,true,37,161,0.24
p18,false,35,143,0.24
p18,true,35,143,0.24
p19,false,36,156,0.25
p19,true,36,156,0.25
p20,false,37,142,0.21
p20,true,37,142,0.21
p21,false,38,155,0.22
p21,true,37,149,0.22
p22,false,38,154,0.22
p22,true,38,154,0.22
p23,false,44,204,0.22
p23,true,44,204,0.22
p24,false,34,104,0.19
p24,true,31,94,0.2
p25,false,36,120,0.19
p25,true,33,108,0.2
p26,false,37,131,0.2
p26,true,33,115,0.22
p27,false,44,174,0.18
p27,true,44,174,0.18
p28,false,44,164,0.17
p28,true,37,128,0.19
p29,false,53,254,0.18
p29,true,14,53,0.58
p30,false,60,317,0.18
p30,true,60,317,0.18
p31,false,47,179,0.17
p31,true,9,29,0.81
p32,false,51,221,0.17
p32,true,34,125,0.22
p33,false,56,258,0.17
p33,true,54,246,0.17
p34,false,74,421,0.16
p34,true,74,421,0.16
p35,false,86,566,0.15
p35,true,83,544,0.16
p36,false,101,798,0.16
p36,true,93,721,0.17
p38,false,87,537,0.14
p38,true,85,524,0.15
p40,false,86,497,0.14
p40,true,84,484,0.14
p41,false,116,900,0.13
p41,true,115,888,0.14
p42,false,138,1186,0.13
p42,true,135,1149,0.13
r01,false,144,1280,0.12
r01,true,144,1280,0.12
r02,false,142,1246,0.12
r02,true,142,1246,0.12
r03,false,139,1188,0.12
r03,true,139,1188,0.12
r04,false,151,1406,0.12
r04,true,151,1406,0.12
r05,false,142,1266,0.13
r05,true,141,1254,0.13
r06,false,148,1381,0.13
r06,true,147,1370,0.13
r07,false,141,1253,0.13
r07,true,138,1221,0.13
r08,false,138,1191,0.13
r08,true,138,1191,0.13
r09,false,129,1027,0.12
r09,true,128,1015,0.12
r10,false,150,1409,0.13
r10,true,149,1398,0.13
r11,false,208,2247,0.1
r11,true,208,2247,0.1
r12,false,199,2055,0.1
r12,true,199,2055,0.1
r13,false,217,2449,0.1
r13,true,217,2449,0.1
r14,false,214,2387,0.1
r14,true,214,2387,0.1
r15,false,198,2055,0.11
r15,true,198,2055,0.11
r16,false,188,1861,0.11
r16,true,186,1837,0.11
r17,false,213,2392,0.11
r17,true,213,2392,0.11
r18,false,200,2079,0.1
r18,true,200,2079,0.1
r19,false,185,1803,0.11
r19,true,185,1803,0.11
r20,false,217,2447,0.1
r20,true,217,2447,0.1
r21,false,281,3554,0.09
r21,true,281,3554,0.09
r22,false,285,3684,0.09
r22,true,285,3684,0.09
r23,false,288,3732,0.09
r23,true,288,3732,0.09
r24,false,269,3284,0.09
r24,true,269,3284,0.09
r25,false,266,3177,0.09
r25,true,266,3177,0.09
r26,false,284,3629,0.09
r26,true,284,3629,0.09
r27,false,259,3019,0.09
r27,true,259,3019,0.09
r28,false,288,3765,0.09
r28,true,288,3765,0.09
r29,false,281,3553,0.09
r29,true,281,3553,0.09
r30,false,301,4122,0.09
r30,true,301,4122,0.09
